State_name,District_name,Other_Education,Other_Workers,Graduate_Education,Households_with_Telephone_Mobile_Phone,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Housholds_with_Electric_Lighting,Secondary_Education,Female_Literate,Urban_Households,Having_bathing_facility_Total_Households,Higher_Education,Literate,Households_with_Computer,Households_with_Telephone_Mobile_Phone_Both,Households_with_separate_kitchen_Cooking_inside_house,LPG_or_PNG_Households,Location_of_drinking_water_source_Within_the_premises_Households,Households,Age_Group_30_49,Household_size_3_to_5_persons_Households,Households_with_Telephone_Mobile_Phone_Landline_only,Literate_Education,Male_Literate,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone_Mobile_only,Household_size_4_persons_Households,Age_Group_50,Main_Workers,Households_with_Radio_Transistor,Household_size_5_persons_Households,Married_couples_1_Households,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Married_couples_None_Households,Male_Workers,Household_size_3_persons_Households,Workers,Female,Population,Male,Household_size_2_persons_Households,Main_source_of_drinking_water_Tapwater_Households,Households_with_Internet,Household_size_1_to_2_persons,Middle_Education,Total_Education,Non_Workers,Ownership_Rented_Households,Household_size_1_person_Households,Ownership_Owned_Households,Power_Parity_Rs_45000_150000,Hindus,Age_Group_0_29,Married_couples_2_Households,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Primary_Education,Female_Workers,Total_Power_Parity,Religion_Not_Stated,Household_size_6_8_persons_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_150000_240000,Jains,Households_with_Bicycle,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Rs_425000_545000,Female_SC,Main_source_of_drinking_water_Tubewell_Borehole_Households,SC,Power_Parity_Rs_330000_545000,Male_SC,Muslims,Power_Parity_Rs_330000_425000,Below_Primary_Education,Married_couples_3_Households,Household_Workers,Power_Parity_Above_Rs_545000,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Main_source_of_drinking_water_Other_sources_Households,Type_of_latrine_facility_Pit_latrine_Households,Illiterate_Education,Crime,Crime4
ANDAMAN AND NICOBAR ISLANDS,Andaman,3886,113459,27521,71431,59135,57395,71120,54857,119969,51725,62685,39952,268949,7964,7822,73436,37895,51113,125717,107073,53812,2561,277159,148980,6233,61048,24150,50592,116259,21022,14248,61242,21085,5021,14012,108175,15414,135410,161595,343739,182144,9139,71477,3177,14960,64034,335870,208329,28841,5821,46063,4915,255615,185752,6788,2859,2056,54482,27235,8933,631,12030,1243,502,1363,861,31,12762,22925,617,0,478,0,952,0,31077,335,32427,1182,1167,460,149,660,2614,58711,771,Low
ANDAMAN AND NICOBAR ISLANDS,Nicobars,364,14001,1300,6669,4830,8055,9301,6325,9935,0,8462,3668,25332,230,151,7754,3644,5502,15958,12088,5779,280,27746,15397,193,6238,2326,5922,9651,3382,1499,6815,1991,78,2605,12714,1954,17125,16115,36842,20727,1442,7898,57,2402,7699,37527,19717,1282,960,7464,1895,8681,18786,480,1210,685,5984,4411,3151,38,1443,636,134,346,212,0,4304,2273,120,0,4,0,190,0,1336,70,2406,47,2560,84,2,1133,65,9781,22,Low
ANDHRA PRADESH,Adilabad,19277,390357,100226,403530,306433,191052,566108,225957,626997,220248,378259,143143,1483347,45202,13417,510399,194954,229686,817714,704551,417387,15483,1346992,856350,8338,374630,182282,422522,1066460,25190,132039,503266,96998,9483,82830,748939,103066,1323667,1371642,2741239,1369597,80780,270862,5512,107798,281752,2377632,1417572,77594,27018,559211,2870,2399901,1536378,58377,1604,1266,344167,574728,4181,22120,114585,648,122,206,84,617,150289,212025,213,245752,79354,488596,347,242844,275970,134,232470,6455,84661,109,4078,7390,20150,1030640,5121,Low
ANDHRA PRADESH,Anantapur,23341,638033,144915,581087,559461,353948,897970,331793,972486,341431,755971,162175,2310960,48299,22640,713663,223016,225275,1244428,1104565,644263,24039,2426929,1338474,9915,534408,291388,739612,1679655,63528,196768,718794,144214,14470,109372,1208544,156107,2036166,2016653,4081148,2064495,106460,819675,8606,143093,582075,3795998,2044982,172680,36633,779195,3857,3599372,2189396,115052,2252,1605,720357,827622,5799,14858,153243,969,150,293,143,1417,206433,528245,261,290756,43685,583135,437,292379,443456,176,462273,15584,105343,243,19296,16086,96437,1369069,5727,Medium
ANDHRA PRADESH,Chittoor,36017,693451,246409,632803,611465,382377,944555,548336,1183084,395900,754648,265199,2667878,67087,36237,777100,324406,342011,1303870,1159053,678054,35378,3062955,1484794,16296,561188,311451,807430,1669852,93489,190750,757090,186568,24934,147264,1202223,175853,1933357,2083860,4174064,2090204,132169,835606,13763,187320,673197,4233948,2240707,196720,55151,815953,3835,3737588,2148179,105579,2270,1565,770836,731134,5926,11677,142837,1021,125,386,261,1322,225856,539408,218,396178,92651,785760,375,389582,397870,157,522961,10901,57269,307,10381,38931,32299,1170993,8172,Medium
ANDHRA PRADESH,East Godavari,49017,766374,266859,740323,828814,811063,1310132,529606,1590999,421881,881363,275910,3327851,94381,53311,880552,490313,624349,1621360,1494189,962313,65701,3559479,1736852,25607,621311,473555,956524,1763490,113621,211139,1096484,234644,34873,230445,1559878,277619,2110441,2612933,5209922,2596989,240718,922107,22618,336885,806303,5099005,3099481,284199,96167,1095770,9123,5036867,2756301,86716,4858,4265,958560,550563,17238,9674,113955,1784,1002,2561,1559,4153,785575,560797,1264,480713,40398,953696,2035,472983,78968,771,673224,6535,57999,1736,2073,11219,50246,1539526,9252,Medium
ANDHRA PRADESH,Guntur,30279,803891,221924,733133,816849,762845,1186028,453446,1325715,513113,904201,246580,2960441,80434,53583,917356,648568,554667,1582990,1371811,842985,62229,3209266,1634726,17424,617321,413160,928462,2106326,106907,200288,972992,190079,28457,185688,1442370,229537,2381624,2447292,4887813,2440521,212589,739450,19383,295615,674957,4683615,2506189,276073,83026,981115,4610,4217597,2583462,117838,2657,1953,845810,939254,6981,15982,139120,1119,188,384,196,3282,454586,465404,328,481074,73453,957407,550,476333,559770,222,736270,10388,47436,317,2660,35872,58852,1474349,10959,Medium
ANDHRA PRADESH,Hyderabad,45937,1315803,558090,799174,746818,868186,869721,811501,1349467,1066289,873099,517425,2892155,274653,123728,868553,581509,814362,1066289,1068243,546260,91702,3445721,1542688,124106,583744,236179,542669,1096081,288188,174472,692697,439890,200317,94747,1045585,135609,1413297,1924748,3943323,2018575,90415,862054,149034,110910,685215,4002623,2530026,422826,20495,437146,5212,2046051,2249130,73154,2008,3204,596591,367712,11071,62142,181806,416,494,2202,1708,19560,229561,47880,860,123614,6139,247927,1531,124313,1713405,671,230962,16242,46157,1710,6238,6777,9725,556902,33875,VHigh
ANDHRA PRADESH,Karimnagar,35312,591179,256633,691495,589283,452865,926768,463403,949591,288044,675283,293493,2206829,46584,17534,642642,344667,633350,1165280,1031735,649211,25539,2325560,1257238,14175,648422,306232,728494,1590304,37212,176730,746836,192965,16190,133465,1049463,166249,1876768,1895469,3776269,1880800,146503,681510,8831,201672,482842,3605953,1899501,141432,55169,823820,3583,3491139,1940234,91081,2163,1420,453505,827305,5251,12583,120450,961,99,227,128,312,406211,197387,173,357276,65437,709757,292,352481,244723,119,340372,8368,168340,186,15034,23433,100604,1280393,8973,Medium
ANDHRA PRADESH,Khammam,25456,360754,160804,427722,416734,360531,668519,238811,728594,201363,403739,154774,1630234,42171,18744,435972,219710,354579,870625,774583,512966,19525,1551232,901640,11887,389453,254089,477955,1215871,35761,114041,575647,115078,15140,112134,802906,144836,1410062,1406382,2797370,1390988,120442,468045,8628,159883,329630,2426504,1387308,115379,39441,616617,2596,2595321,1530602,55189,1584,1012,346118,607156,3836,7829,69643,732,78,153,75,459,267852,240615,136,232991,61127,462896,228,229905,158887,92,295639,4220,19799,127,1518,9819,37554,875272,5961,Medium
ANDHRA PRADESH,Krishna,54728,843294,328454,743696,794346,863417,1163932,531821,1410759,567042,897201,312753,3009718,101450,69493,838939,632890,611878,1476334,1284630,824868,76037,3169428,1598959,27969,598166,417156,833959,1744978,112568,171961,955030,212111,43264,183554,1327299,235751,2048880,2250023,4517398,2267375,218150,903992,30438,299154,630603,4521927,2468518,328243,81004,863382,4586,4023678,2340943,81787,2557,2029,692968,721581,6983,31597,95350,1054,180,450,270,6320,525079,387804,313,435651,43371,871063,531,435412,307043,218,618101,6370,48444,364,4774,17143,32758,1352499,14561,High
ANDHRA PRADESH,Kurnool,19282,620378,115504,572406,543044,353289,816721,271828,880792,306982,702120,152453,2127161,56478,22698,752035,195001,227045,1090835,1053618,547505,30605,2220285,1246369,10622,519103,238908,609027,1757520,79714,188029,652567,118153,15373,92650,1164122,120568,2029425,2014236,4053463,2039227,86663,696977,10081,116088,466940,3738218,2024038,156505,29425,710444,3518,3328380,2368684,109416,2163,1355,672951,865303,5301,17520,181675,1042,114,222,108,2235,271815,431425,199,367730,38696,737945,333,370215,670737,134,521327,18819,60791,185,4613,5342,58115,1517933,7441,Medium
ANDHRA PRADESH,Mahbubnagar,16121,524429,98227,570261,362791,231015,757821,308575,782260,161052,508140,169083,1940646,60812,18944,595275,136843,290371,1010015,1027525,541398,23880,2049104,1158386,12615,527437,225428,637430,1815643,60282,195006,632870,121553,11293,100900,1140067,120964,2082501,2002642,4053028,2050386,79590,681260,6153,105279,441585,3653423,1970527,66068,25689,800743,3241,3673456,2360874,116194,2104,1137,596134,942434,4695,22452,191259,1068,54,124,70,388,151754,329098,95,352855,58931,708954,160,356099,334172,65,419379,19694,57846,102,5428,11889,40681,1604319,6675,Medium
ANDHRA PRADESH,Medak,16466,450211,127493,482440,349304,293838,604719,373729,683731,195479,421856,201928,1637137,47170,23516,508133,163074,278173,789132,779738,419073,28285,2029580,953406,14362,430639,178179,509368,1195494,69729,144437,482906,119276,15872,74445,837874,96457,1442203,1510258,3033288,1523030,65211,494042,8635,84875,481984,3229398,1591085,90125,19664,570933,2656,2637313,1735769,92770,1659,997,503713,604329,3874,16688,140018,786,59,143,84,457,232114,228110,102,271534,92845,537947,173,266413,342449,71,324267,14040,67642,116,7965,9422,82272,1199818,5669,Medium
ANDHRA PRADESH,Nalgonda,27003,508214,196134,588791,464172,355700,789225,367424,840262,197433,479824,238695,2001019,53777,19542,460960,228818,347474,1030937,897137,578886,23899,2188695,1160757,18927,545350,270974,651748,1493419,44340,163054,655150,143010,15308,120943,976428,144858,1741693,1729037,3488809,1759772,120169,598439,7715,165334,471233,3483506,1747116,103172,45165,760789,3043,3249231,1932349,89307,1937,1106,518669,765265,4468,14347,119437,968,72,136,64,250,286559,298874,125,319026,66625,637385,209,318359,188646,84,369537,8970,45124,113,6223,78943,57670,1294811,7640,Medium
ANDHRA PRADESH,Nizamabad,13382,363382,141850,428744,308270,245523,545913,396396,599596,155133,428790,223365,1389810,35036,20344,448674,186740,242762,720298,676401,379595,23277,1804547,790214,10088,385123,163189,437573,1055965,46837,122189,432299,102049,9899,80591,684320,94217,1261076,1300694,2551335,1250641,67384,450359,5261,90591,338668,2846409,1290259,93887,23207,490840,2399,2123426,1399773,68637,1468,931,421399,576756,3458,11768,107972,661,60,121,61,542,212631,218935,105,192276,78420,371074,176,178798,391596,71,269487,8050,171311,100,14142,14269,32721,1041862,6391,Medium
ANDHRA PRADESH,Prakasam,21976,488717,133627,494689,468022,321332,763746,249034,796749,214089,528518,142026,1904435,43611,18557,518496,290947,197300,1087575,917391,548015,25076,1900943,1107686,9071,451056,251635,641707,1463508,40847,151457,643184,105940,10365,113321,991842,144923,1700567,1682684,3397448,1714764,130198,481021,6151,181210,368919,3119253,1696881,127205,51012,717208,2973,3150195,1832695,89358,1845,1128,495556,708725,4304,7051,115932,855,65,156,91,204,226045,406577,114,390619,78693,787861,193,397242,220654,79,489805,10022,42603,127,1463,24112,39145,1218310,5980,Medium
ANDHRA PRADESH,Rangareddy,57436,1502734,740896,1094233,949853,1028259,1211352,821821,1589244,1129224,1101926,598940,3538028,291745,117975,1178203,773246,907391,1561322,1455864,865161,75653,4242880,1948784,125225,900605,400555,738037,1834777,265298,243312,998111,498040,199886,125264,1488916,221294,2196078,2595733,5296741,2701008,139283,1099746,142879,169288,809283,5401353,3100663,484153,30005,758393,5426,4458858,2966988,118251,2514,2912,756588,707162,8803,61060,195938,785,373,901,528,3536,271193,201184,650,324031,72143,652042,1088,328011,617518,438,457916,18705,73387,603,15480,38646,86046,1158473,1792,Low
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,27865,488383,148394,443579,486148,306095,696024,267243,820267,264376,519318,161031,1832189,39583,33129,432631,233623,338967,953513,840448,510984,29524,1863811,1011922,11661,380926,243234,544022,1076544,41899,121799,581823,108096,15387,119018,859880,145951,1314561,1470583,2963557,1492974,124620,529838,10201,175506,370710,2804596,1648996,130421,50886,624970,2711,2639737,1574713,64736,1615,1096,451130,454681,4024,5567,79487,711,88,191,103,2610,162980,326288,152,333915,56033,666588,256,332673,288378,104,437438,6336,35403,156,4929,14690,21976,940785,6294,Medium
ANDHRA PRADESH,Srikakulam,21031,389659,121213,332230,297418,146386,615432,251521,637557,149684,178089,146721,1495381,32280,18598,548681,149554,107308,902436,747385,464451,18802,1499877,857824,5264,294830,224481,528736,936244,19494,121821,506897,64087,6316,107495,766483,118149,1290288,1361376,2703114,1341738,86481,179917,3988,129328,319244,2509869,1412826,68045,42847,610487,2278,2666950,1423119,66546,1475,803,348354,523805,3301,7724,85869,743,37,95,58,160,180824,394989,64,130450,85253,255664,109,125214,9025,45,291793,7462,34479,76,1091,3531,13539,1009992,4161,Low
ANDHRA PRADESH,Visakhapatnam,44164,934221,289734,657824,666976,577722,1010250,541942,1145371,660493,679351,329770,2568249,124729,56704,881691,495389,384258,1379340,1245627,786438,39493,2837695,1422878,46469,561627,380992,716066,1481139,181071,191152,868660,241192,71289,155510,1239064,214294,1889879,2151679,4290589,2138910,144655,634191,45492,198751,649271,4256546,2400710,287779,54096,817426,4404,4105320,2274553,92853,2282,2122,568178,650815,7319,15579,129455,877,214,777,563,2316,297276,494827,373,166613,145141,329486,651,162873,86330,278,414636,8305,54545,611,4339,9949,22116,1418851,8354,Medium
ANDHRA PRADESH,Vizianagaram,27041,360954,103591,265587,278230,131289,527736,186576,530885,157056,242486,115144,1238388,24128,16052,443111,140361,95138,749514,666394,403386,13208,1240323,707503,5002,236327,192867,451469,953215,28633,105612,440182,61858,7516,84176,679289,104907,1157962,1182997,2344474,1161477,74473,259205,4453,105327,257468,2272006,1186512,68076,30854,514227,2110,2299129,1206366,65254,1306,804,300057,478673,3103,9577,80085,613,65,110,45,815,168297,396943,114,126235,59276,247728,188,121493,16423,74,250446,6261,27469,81,1019,1015,6188,1031683,4818,Low
ANDHRA PRADESH,Warangal,27663,502367,248942,568508,462819,388583,828077,430242,885233,288249,504897,279234,2065023,59006,25094,476334,237349,461825,1046987,941452,593070,34782,2212184,1179790,15727,508632,285338,664872,1442197,71400,162772,676526,139404,22196,112611,960926,144960,1705655,1753295,3512576,1759281,124347,597926,12952,168039,454322,3403436,1806921,117060,43692,761465,3139,3273755,1891954,90062,1936,1203,457529,744729,4762,7710,117016,938,93,228,135,569,311837,216245,162,308393,70325,616102,274,307709,197333,112,314252,8344,43550,185,26831,40479,106071,1191252,8313,Medium
ANDHRA PRADESH,West Godavari,33329,522189,207586,578252,648607,694857,1017568,415178,1273166,248373,720167,215863,2652389,55613,43490,645717,435334,593261,1255628,1127764,724609,56671,2771842,1379223,14687,478091,363280,755533,1534166,70135,150277,830550,182698,19128,167867,1199338,211052,1773112,1972048,3936966,1964918,193110,900503,12050,263697,585595,3800609,2163854,207958,70587,836015,3737,3733191,2051513,71679,2260,1477,718960,573774,5485,6227,82492,1011,105,236,131,1578,605463,338966,184,408005,17816,811698,310,403693,86142,126,595331,5319,33861,193,1232,7707,30148,1028767,8311,Medium
ANDHRA PRADESH,Y.S.R.,16231,478518,116330,439641,409629,314726,671764,258798,722067,293504,586881,140145,1716766,39923,12689,509140,209532,238688,884093,793583,455759,18578,1862684,994699,7558,408374,201211,530412,1079903,54033,134822,530163,98736,10415,92480,823886,119726,1320404,1430692,2882469,1451777,93139,598146,6667,129103,413364,2756341,1562065,136435,35964,559338,2762,2391231,1553667,70984,1588,1174,509166,496518,4030,12381,106666,678,91,179,88,751,130524,374889,158,233671,25759,465794,264,232123,454108,106,408650,8397,55824,148,4881,13297,106296,893657,5340,Medium
ARUNACHAL PRADESH,Anjaw,98,3920,502,1239,1153,1200,1949,1167,3467,428,1064,793,9990,252,157,4069,476,1307,6453,4755,1886,55,10555,6523,79,1027,661,2456,9264,479,673,2991,363,28,871,6224,552,10501,9660,21167,11507,457,3624,27,846,2170,19278,10666,372,389,3294,231,13088,13913,281,161,70,2946,4277,348,87,1275,52,21,49,28,12,51,1845,6,0,0,0,12,0,655,6,2879,35,84,4,32,121,479,8723,21,Low
ARUNACHAL PRADESH,Changlang,834,18530,3633,10621,9314,19606,14593,10032,29147,6498,9721,5641,73174,1486,963,26837,4762,12040,39920,35018,13892,434,80456,44027,1102,9224,5197,16414,50765,6639,5300,21057,2450,499,3807,39329,3395,62966,71278,148226,76948,2130,12297,170,3559,17354,137746,85260,5793,1429,20141,231,47683,96630,3081,161,70,22537,23637,348,132,8962,52,21,49,28,95,13306,10346,6,0,2057,0,12,0,2134,6,20425,422,496,4,215,385,11322,57290,201,Low
ARUNACHAL PRADESH,Dibang Valley,91,2091,356,816,685,1311,1074,809,1822,1175,947,656,4436,133,94,1824,605,932,3230,2088,726,60,4926,2614,96,662,247,786,2525,386,222,982,283,35,744,2228,257,3555,3590,8004,4414,260,1649,17,643,1060,7111,4449,414,383,1308,385,3141,5113,137,193,192,1258,1327,644,127,401,68,41,105,64,2,46,694,25,0,0,0,46,0,111,21,696,8,68,40,6,71,427,2185,5,Low
ARUNACHAL PRADESH,East Kameng,142,8539,2330,4178,3169,4703,5318,6213,16850,5215,4477,4510,38449,885,538,13486,3583,2839,19718,17922,6187,262,44247,21599,577,3378,2156,6960,27123,2116,2405,11366,1382,203,1582,16424,1626,31710,39915,78690,38775,1068,11181,57,1562,8852,76010,46980,2014,494,12051,231,12333,53752,1396,161,70,10487,15286,348,190,5600,52,21,49,28,23,755,7097,6,0,44,0,12,0,652,6,11713,217,273,4,54,160,421,31763,102,Low
ARUNACHAL PRADESH,East Siang,525,15979,6540,12744,9363,11735,14231,10937,28366,9524,8399,9498,62576,1582,1244,18182,4866,7504,29021,25334,8102,943,65119,34210,2072,10557,2950,11802,33578,7467,3186,13537,4568,930,2989,23591,1966,40222,49098,99214,50116,1598,12954,450,2813,13968,86662,58992,5518,1215,11640,385,27854,61993,2123,193,192,13713,16631,644,549,6270,68,41,105,64,30,6380,7331,25,0,455,0,46,0,2289,21,9938,358,493,40,54,194,3271,21543,235,Low
ARUNACHAL PRADESH,Kurung Kumey,299,6847,2031,3318,1320,4066,3911,6997,16348,1092,2173,4353,36606,969,174,15498,586,1688,19695,20713,5358,156,53659,20258,605,2988,1898,6836,24372,3167,2213,12003,884,106,1410,18429,1247,38044,46758,92076,45318,648,6770,95,832,12264,96280,54032,410,184,15458,231,4859,64379,2146,161,70,15054,19615,348,1154,8718,52,21,49,28,81,189,7920,6,0,99,0,12,0,471,6,12661,329,833,4,232,1725,481,42621,33,Low
ARUNACHAL PRADESH,Lohit,584,22461,5180,13372,12215,17327,17157,13070,34682,11372,11806,7612,83062,1471,1121,27644,6549,16365,44971,35493,15082,752,91574,48380,1203,11499,5588,15195,50754,6169,5666,21917,3884,631,4391,38910,3828,60945,69505,145726,76221,2314,8500,312,3981,20643,143995,84781,7188,1667,17340,231,99020,94890,2652,161,70,25179,22035,348,133,8813,52,21,49,28,104,16426,7993,6,0,2548,0,12,0,3846,6,19306,386,786,4,8,456,8708,52421,158,Low
ARUNACHAL PRADESH,Lower Dibang Valley,85,9052,2795,6616,4345,6143,5932,5508,13762,3950,4945,3570,31849,742,595,10559,3068,5416,15950,13254,5222,217,33141,18087,703,5804,1975,5652,19829,2736,1848,7625,2128,346,2130,14102,1399,22326,26027,54080,28053,1038,7059,207,1964,7351,47547,31754,3805,926,5317,231,28915,35140,977,161,70,7957,8224,348,328,3048,52,21,49,28,19,4410,3148,6,0,139,0,12,0,2247,6,5875,116,233,4,164,222,1958,14406,90,Low
ARUNACHAL PRADESH,Lower Subansiri,295,14143,5230,9532,7285,11232,12493,9861,24587,5365,8804,7674,54057,1598,1598,14643,4211,7800,23477,20305,5721,505,54034,29470,2002,7429,2058,7412,22669,3921,2027,10649,2973,655,2614,17339,1636,30202,41187,83030,41843,1225,12831,381,2185,11661,71307,52828,3062,960,11259,231,9551,55258,1513,161,70,10821,12863,348,277,5450,52,21,49,28,13,1063,5240,6,0,142,0,12,0,1482,6,8492,260,435,4,143,346,2329,17273,78,Low
ARUNACHAL PRADESH,Papum Pare,926,48266,13840,27411,23203,25706,30539,20007,55254,30180,23052,17342,121048,7418,3186,31671,22966,19772,50488,43812,16296,1397,110815,65794,6454,22828,6373,11856,51157,5958,5294,24776,8668,4243,5667,41263,4629,65772,87391,176573,89182,3138,25063,2477,5081,21376,141175,110801,12769,1943,15037,385,57027,120592,2474,193,192,21956,24509,644,1198,9382,68,41,105,64,139,3898,9481,25,0,502,0,46,0,6148,21,15368,435,1543,40,100,409,2768,30360,652,Low
ARUNACHAL PRADESH,Tawang,667,19235,1379,4036,4824,7026,8635,2140,8353,2452,3562,1989,26073,494,955,9277,3794,3806,13182,13849,4886,771,19838,17720,895,2310,1777,5399,24430,2356,1529,6239,205,247,2894,19554,1580,28561,20826,49977,29151,1203,7643,96,2397,4029,39041,21416,2134,1194,6820,231,11842,30709,323,161,70,4730,9007,348,67,2034,52,21,49,28,72,105,3654,6,0,8,0,12,0,787,6,4904,19,114,4,1,820,2002,19203,49,Low
ARUNACHAL PRADESH,Tirap,182,11555,2134,7182,6118,16937,16026,7834,18661,6500,6582,4305,47974,888,456,18949,3104,4989,24920,25669,7974,163,57106,29313,679,6563,2960,14423,44262,2281,3025,13124,1369,216,2724,27545,1989,50169,54371,111975,57604,1418,11931,98,2362,12077,107734,61806,2575,944,15861,231,20682,71785,3072,161,70,16989,22624,348,622,6681,52,21,49,28,43,963,7290,6,0,117,0,12,0,1103,6,13585,482,836,4,532,748,9264,50628,143,Low
ARUNACHAL PRADESH,Upper Siang,46,6273,1349,3491,2823,4413,6198,2935,7472,2182,2714,2211,18195,392,502,6946,1504,2537,10751,8910,2749,99,20992,10723,430,2890,934,5252,14524,1415,978,4865,1031,165,1603,9968,837,17644,16621,35320,18699,833,6796,97,1628,4915,32201,17676,1047,795,5393,231,5261,21090,631,161,70,5584,7676,348,427,2100,52,21,49,28,7,136,3801,6,0,1,0,12,0,411,6,3952,66,591,4,1,114,591,11209,55,Low
ARUNACHAL PRADESH,Upper Subansiri,473,9353,4276,3653,3580,6658,5373,10348,20471,4672,5007,8017,45278,750,609,15025,3123,3847,19214,20055,6935,475,64790,24807,569,2569,2530,7230,25717,4629,2691,12018,1435,189,2011,17898,1714,33370,41690,83448,41758,1162,11712,139,1526,15339,93154,50078,1635,364,13420,231,13474,56054,1285,161,70,16118,15472,348,889,6174,52,21,49,28,11,782,7080,6,0,11,0,12,0,521,6,10219,167,481,4,197,1629,1148,28364,136,Low
ARUNACHAL PRADESH,West Kameng,299,25511,2693,7942,8634,8253,14188,5633,18926,6306,7421,3987,48492,887,867,14843,7133,6902,24195,22362,8509,434,40193,29566,1299,6641,3294,8493,34752,3081,2768,11500,1045,371,3770,28313,2447,42493,37792,83947,46155,1689,14074,202,3128,8428,65799,41454,5787,1439,9390,231,31265,53026,1003,161,70,10317,14180,348,204,4146,52,21,49,28,71,348,7026,6,0,92,0,12,0,1970,6,8836,105,801,4,14,470,1162,25606,118,Low
ARUNACHAL PRADESH,West Siang,521,18643,6030,10217,9593,15800,14204,11441,27969,8503,10692,8418,64746,1300,1623,19907,6115,9685,30775,28305,8169,869,74220,36777,1964,7725,2896,13469,43000,4771,3329,13982,4023,621,2987,29156,1944,49177,54106,112274,58168,1395,17389,303,2412,15908,102176,63097,4678,1017,14876,231,15881,70415,2874,161,70,17675,20021,348,264,7494,52,21,49,28,49,2129,7809,6,0,84,0,12,0,2218,6,14227,493,298,4,112,437,2817,27956,210,Low
ASSAM,Baksa,1839,142567,15422,86067,36032,75132,44425,96782,250223,3580,31673,53446,572837,13566,2607,153083,11281,107389,295221,256282,111895,3786,684211,322614,2479,79674,45221,130083,278297,64307,42099,138055,11924,1254,19780,266611,24575,406756,468745,950075,481330,11310,5135,1175,14982,225635,978995,543319,2702,3672,183890,231,782901,563089,26641,161,70,195643,140145,348,2411,52735,52,21,49,28,239,137745,42591,6,35549,6036,73083,12,37534,135750,6,95444,4986,20310,4,1545,3557,40035,294784,776,Low
ASSAM,Barpeta,8007,227277,46947,151699,55319,243504,84804,121924,398020,52192,97152,87377,897058,25286,3629,188162,50806,220128,499381,405046,190552,4125,1083591,499038,5560,143945,74238,215355,439453,66059,68622,261844,24913,3522,31369,445297,47692,561824,826618,1693622,867004,23690,5966,2078,31807,300845,1747752,1131798,7625,8117,326160,231,492966,1072312,36749,161,70,307884,116527,348,1026,95730,52,21,49,28,399,181352,74876,6,46155,20547,95320,12,49165,1198036,6,210607,7012,30342,4,5044,12151,154805,664161,2962,Low
ASSAM,Bongaigaon,2267,115473,20221,78595,36350,84687,49866,55924,196964,38470,47000,35491,434078,12959,4536,91788,29937,103898,220393,184849,85826,3604,479431,237114,5837,70455,34496,94939,191671,26375,27859,109693,16579,4174,20913,197542,23471,255806,362986,738804,375818,10961,8885,2523,15751,133643,740152,482998,12007,4790,134382,231,359145,458796,15859,161,70,138294,58264,348,1202,39096,52,21,49,28,871,97820,28239,6,40271,10563,82784,12,42513,371033,6,93591,3079,9485,4,1171,3750,45166,260721,1504,Low
ASSAM,Cachar,12951,394576,45341,168487,99887,298041,140205,156156,534182,88933,159266,79766,1174128,37541,9814,357096,62135,80138,435160,444899,203831,8808,1378531,639946,8700,149865,76457,241776,471259,57825,66319,277244,22647,6365,61576,469752,61055,608062,850333,1736617,886284,40838,134160,5316,56910,379469,1736438,1128555,25190,16072,324905,231,1038985,1048990,25131,161,70,447993,138310,348,2789,93340,52,21,49,28,1673,93297,169873,6,128846,11692,264897,12,136051,654816,6,256855,3324,24466,4,3471,2045,170376,357907,4286,Low
ASSAM,Chirang,918,70670,6594,43203,16559,27951,22502,37792,114033,11613,14176,17702,259902,8627,1253,61760,8135,51384,140631,122244,54620,2118,305630,145869,1814,39832,20890,58282,139027,15035,19398,71993,6568,1052,11279,128762,14332,193894,237302,482162,244860,6847,2988,747,9251,84682,478569,288268,2336,2404,93518,231,320647,301518,11734,161,70,92943,65132,348,1420,28026,52,21,49,28,125,65675,24143,6,17030,8255,35135,12,18105,109248,6,64999,1841,7672,4,402,4739,10512,172939,676,Low
ASSAM,Darrang,3079,103228,22267,72141,30616,95080,45444,59039,218373,20189,46789,47398,487039,12084,1703,89914,17676,110458,288706,226525,106839,2954,575240,268666,3533,67484,42950,118102,241456,52657,35454,144343,13662,2046,22228,246864,28435,324843,453227,928500,475273,13648,4865,1166,19407,161153,950796,603657,3789,5759,180669,231,327322,583436,18049,161,70,163277,77979,348,867,50693,52,21,49,28,724,109858,43447,6,19694,7467,40260,12,20566,597392,6,119027,2852,10542,4,1241,4532,56272,375556,2622,Low
