State_name,District_name,Other_Education,Other_Workers,Graduate_Education,Households_with_Telephone_Mobile_Phone,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Housholds_with_Electric_Lighting,Secondary_Education,Female_Literate,Urban_Households,Having_bathing_facility_Total_Households,Higher_Education,Literate,Households_with_Computer,Households_with_Telephone_Mobile_Phone_Both,Households_with_separate_kitchen_Cooking_inside_house,LPG_or_PNG_Households,Location_of_drinking_water_source_Within_the_premises_Households,Households,Age_Group_30_49,Household_size_3_to_5_persons_Households,Households_with_Telephone_Mobile_Phone_Landline_only,Literate_Education,Male_Literate,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone_Mobile_only,Household_size_4_persons_Households,Age_Group_50,Main_Workers,Households_with_Radio_Transistor,Household_size_5_persons_Households,Married_couples_1_Households,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Married_couples_None_Households,Male_Workers,Household_size_3_persons_Households,Workers,Female,Population,Male,Household_size_2_persons_Households,Main_source_of_drinking_water_Tapwater_Households,Households_with_Internet,Household_size_1_to_2_persons,Middle_Education,Total_Education,Non_Workers,Ownership_Rented_Households,Household_size_1_person_Households,Ownership_Owned_Households,Power_Parity_Rs_45000_150000,Hindus,Age_Group_0_29,Married_couples_2_Households,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Primary_Education,Female_Workers,Total_Power_Parity,Religion_Not_Stated,Household_size_6_8_persons_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_150000_240000,Jains,Households_with_Bicycle,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Rs_425000_545000,Female_SC,Main_source_of_drinking_water_Tubewell_Borehole_Households,SC,Power_Parity_Rs_330000_545000,Male_SC,Muslims,Power_Parity_Rs_330000_425000,Below_Primary_Education,Married_couples_3_Households,Household_Workers,Power_Parity_Above_Rs_545000,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Main_source_of_drinking_water_Other_sources_Households,Type_of_latrine_facility_Pit_latrine_Households,Illiterate_Education,Crime,Crime4
KERALA,Thiruvananthapuram,76129,1069775,381782,697741,658734,780821,783872,682156,1430551,609824,613196,389161,2785408,155321,204592,796526,343590,698056,1169117,989238,568815,92401,2838716,1354857,96456,400748,271600,820024,921282,264663,140853,579574,220675,94612,139030,864101,156362,1231669,1719749,3301427,1581678,99737,316393,71621,141266,642470,3147758,2069758,83983,41529,727418,3300,2194057,1488441,96518,1611,1689,460690,367568,5770,22019,103948,766,491,915,424,76,136964,83395,302,194388,16450,372977,516,178589,452915,214,206328,12243,28587,273,1438,16123,263044,309042,16233,High
KERALA,Thrissur,71535,952117,338600,671105,616644,727823,721625,821831,1396287,715119,712186,362657,2678548,132774,252806,720918,338350,622975,1051867,931841,499304,99998,2787333,1282261,84016,318301,228326,792182,929506,262620,132323,508265,220583,79552,117739,789511,138655,1095727,1640437,3121200,1480763,86762,204494,56148,114774,524387,3094998,2025473,48702,28012,683102,3270,1823442,1394214,98284,1548,1722,445696,306216,5612,6251,107091,622,397,846,449,62,248933,86332,247,167870,39221,324350,685,156480,532839,438,222627,16971,27883,189,476,9463,199982,307665,16377,High
KERALA,Wayanad,8786,181114,51111,155220,109972,170170,149864,184266,317449,11805,146524,87042,645585,15944,47065,172322,23028,111648,277988,246590,125105,16555,678654,328136,13027,91600,57494,157326,263445,48187,37678,131870,22721,6438,23810,228639,29933,340077,415736,817420,401684,17127,41863,4712,23259,137227,809865,477343,12409,6132,166448,645,404460,412806,25844,385,260,144896,111438,1095,1866,32026,234,98,192,94,1797,15359,43873,9,16172,5784,32578,15,16406,234185,6,65326,3484,4574,9,49,2974,41661,131211,4256,Low
LAKSHADWEEP,LAKSHADWEEP,1059,18489,3491,10023,6855,10467,10669,13997,24530,15953,10394,6642,52553,1501,4176,7325,1779,8956,21242,19244,3996,870,58057,28023,245,4977,1570,11237,10804,2165,1461,6331,4109,842,3099,15318,965,18753,31350,64473,33123,670,2168,327,1321,13836,64010,45720,1582,651,8934,795,1788,33877,861,369,426,13391,3435,1861,64,3068,104,162,298,136,11,9027,1534,184,0,5,0,342,0,62268,158,5641,271,264,322,0,547,43,5953,44,Low
MADHYA PRADESH,Alirajpur,1028,32645,10040,33439,11262,13859,81006,18213,88849,14662,29985,15358,209754,5126,1180,129506,9021,15030,150528,155328,42985,922,155372,120905,1174,31337,14579,84149,265029,8532,20531,83933,9888,724,7569,188698,7875,366797,366457,728999,362542,5606,7327,297,7233,22410,814056,362202,4315,1627,126360,1028,705060,488848,32230,605,423,44457,178099,1569,527,57090,316,38,92,54,780,27778,76880,53,13396,2190,26877,86,13481,17660,33,43866,6523,4066,47,149,317,818,658684,1262,Low
MADHYA PRADESH,Anuppur,3066,93596,31646,57032,41067,29828,81338,58536,182475,60325,35107,42743,436595,7266,3122,162326,23388,47278,207713,193520,90782,2908,458365,254120,2895,51002,34331,109813,227040,27223,32761,119931,29063,3062,22200,207401,23690,346471,370123,749237,379114,22868,29861,1290,33559,93450,730098,402766,16275,10691,146164,550,686524,444954,22871,307,243,115716,139070,787,1329,39257,166,3,55,52,1653,84977,68354,4,36544,1924,74385,7,37841,21473,3,113208,3237,7051,8,140,886,1268,271733,1435,Low
MADHYA PRADESH,Ashoknagar,3466,65411,22791,81251,42898,26227,84720,51499,178805,37135,87957,29551,469109,6016,2830,161138,15886,30468,206741,194772,85945,2816,435809,290304,2373,75605,32336,114131,241288,20551,34220,126578,23638,1332,16216,231829,19389,315270,401234,845071,443837,19576,17501,619,26584,62802,795334,529801,5484,7008,162759,575,778214,535410,22437,337,238,117053,83441,861,1033,49792,176,18,45,27,15094,43637,84954,24,83548,7376,175764,39,92216,40707,15,148647,4421,10559,24,205,954,1448,359525,2613,Low
MADHYA PRADESH,Balaghat,7414,156188,74213,100910,82475,73522,277927,168635,521155,70793,178778,126308,1147623,13306,7328,373515,27283,87044,470867,453605,230275,7640,1215160,626468,4045,85942,91010,276799,530506,53640,84346,289159,46168,4072,53112,488610,54919,893014,859520,1701698,842178,45725,38273,1712,66352,235251,1708575,808684,16421,20627,366925,1140,1519384,969773,45934,668,472,312640,404404,1709,2423,89463,347,35,103,68,4778,252422,188210,51,63850,4190,125426,83,61576,38542,32,290699,5302,19245,35,215,284,12359,493415,2447,Low
MADHYA PRADESH,Barwani,2581,91546,30754,70169,48847,45979,181139,59100,236284,48912,95231,42649,549926,8516,3955,236395,30115,48225,299270,302833,102717,3163,503604,313642,3102,63051,36524,158594,525791,18097,45230,164033,31152,2713,16867,365928,20963,653897,686541,1385881,699340,17742,70117,1158,23322,74067,1328638,731984,12865,5580,224957,882,1318869,923665,47993,561,321,137116,287969,1336,494,89149,315,26,45,19,2289,51163,127727,36,43513,12669,87991,58,44478,58222,22,157337,11158,7451,35,546,1916,5093,825034,1914,Low
MADHYA PRADESH,Betul,5876,163372,82761,121106,94586,81190,230974,140402,409986,87704,184872,105696,939769,13755,11232,317408,45270,68321,406649,392728,178031,11017,982706,529783,5740,98857,70160,242592,511287,40590,70169,240032,59230,5615,37441,453887,37702,786980,776126,1575362,799236,30101,88762,2109,41971,176325,1585804,788382,23266,11870,284681,1219,1505745,938819,42823,678,541,232532,333093,1845,1220,92643,344,40,143,103,3759,114524,161934,56,77675,20222,159296,90,81621,37590,34,239114,5758,11849,47,732,465,9059,603098,3278,Low
